pago_id,order_proveedor_id,provider_id,provider_name,fecha_orden,condicion_pago,fecha_vencimiento,fecha_pago,monto_total,estado_pago
PP-002169,O-002169,PR-01497,Griffin-Little,2025-08-22,90 días,2025-11-20,,1488.08,Pendiente
PP-002170,O-002170,PR-00618,Jones-Gallagher,2025-07-04,60 días,2025-09-02,2025-07-31,3942.08,Pagado
PP-002171,O-002171,PR-01323,"Baker, Atkins and Prince",2025-07-04,90 días,2025-10-02,2025-07-25,7200.2,Pagado
PP-002172,O-002172,PR-00148,Roth LLC,2025-07-20,30 días,2025-08-19,2025-07-21,1063.34,Pagado
PP-002173,O-002173,PR-00911,Whitaker-King,2025-08-11,90 días,2025-11-09,,5177.62,Pendiente
PP-002174,O-002174,PR-00911,Whitaker-King,2025-06-29,90 días,2025-09-27,,576.55,Pendiente
PP-002175,O-002175,PR-00149,Snyder LLC,2025-08-18,90 días,2025-11-16,2025-11-12,2930.44,Pagado
PP-002176,O-002176,PR-00150,"Poole, Santos and Cobb",2025-07-05,90 días,2025-10-03,2025-08-29,4171.2,Pagado
PP-002177,O-002177,PR-00673,Baird and Sons,2025-08-14,90 días,2025-11-12,2025-11-08,9779.25,Pagado
PP-002178,O-002178,PR-00711,Brown-Wiley,2025-08-21,60 días,2025-10-20,,8731.53,Pendiente
PP-002179,O-002179,PR-00185,"Brooks, Thornton and Contreras",2025-08-24,60 días,2025-10-23,,9699.33,Pendiente
PP-002180,O-002180,PR-00185,"Brooks, Thornton and Contreras",2025-08-12,60 días,2025-10-11,,3471.69,Pendiente
PP-002181,O-002181,PR-00714,"Lopez, Thompson and Oliver",2025-06-30,30 días,2025-07-30,2025-07-09,4811.85,Pagado
PP-002182,O-002182,PR-00187,"Jones, Moore and Nunez",2025-07-19,90 días,2025-10-17,2025-08-08,3976.0,Pagado
PP-002183,O-002183,PR-00187,"Jones, Moore and Nunez",2025-06-26,90 días,2025-09-24,,3114.88,Pendiente
PP-002184,O-002184,PR-01497,Griffin-Little,2025-08-23,90 días,2025-11-21,2025-09-08,10665.0,Pagado
PP-002185,O-002185,PR-00828,Baird and Sons,2025-07-07,Contado,2025-07-07,2025-07-07,2024.2,Pagado
PP-002186,O-002186,PR-01167,Bradley Ltd,2025-07-13,90 días,2025-10-11,,10512.86,Pendiente
PP-002187,O-002187,PR-00148,Roth LLC,2025-08-18,30 días,2025-09-17,2025-08-27,3005.04,Pagado
PP-002188,O-002188,PR-00187,"Jones, Moore and Nunez",2025-07-05,90 días,2025-10-03,,13927.04,Pendiente
PP-002189,O-002189,PR-01196,Acosta Inc,2025-07-16,90 días,2025-10-14,2025-08-31,1085.4,Pagado
PP-002190,O-002190,PR-00188,Farrell Ltd,2025-07-29,30 días,2025-08-28,2025-08-01,1280.34,Pagado
PP-002191,O-002191,PR-00188,Farrell Ltd,2025-07-10,30 días,2025-08-09,2025-07-27,6090.26,Pagado
PP-002192,O-002192,PR-00893,Cooper Ltd,2025-07-24,90 días,2025-10-22,,10219.68,Pendiente
PP-002193,O-002193,PR-00177,Scott-Carroll,2025-07-18,60 días,2025-09-16,,1157.12,Pendiente
PP-002194,O-002194,PR-00177,Scott-Carroll,2025-06-29,60 días,2025-08-28,,4866.16,Pendiente
PP-002195,O-002195,PR-00828,Baird and Sons,2025-07-16,Contado,2025-07-16,2025-07-16,3664.5,Pagado
PP-002196,O-002196,PR-01323,"Baker, Atkins and Prince",2025-08-19,90 días,2025-11-17,,3626.4,Pendiente
PP-002197,O-002197,PR-00911,Whitaker-King,2025-06-30,90 días,2025-09-28,,1760.13,Pendiente
PP-002198,O-002198,PR-01234,"Frye, Taylor and Hoover",2025-07-08,Contado,2025-07-08,2025-07-08,3572.59,Pagado
PP-002199,O-002199,PR-00150,"Poole, Santos and Cobb",2025-08-21,90 días,2025-11-19,,5945.29,Pendiente
PP-002200,O-002200,PR-00946,Nguyen Group,2025-08-05,30 días,2025-09-04,2025-08-18,5780.76,Pagado
PP-002201,O-002201,PR-00188,Farrell Ltd,2025-07-19,30 días,2025-08-18,,5919.14,Retrasado
PP-002202,O-002202,PR-00188,Farrell Ltd,2025-07-03,30 días,2025-08-02,2025-07-26,5551.17,Pagado
PP-002203,O-002203,PR-00893,Cooper Ltd,2025-08-14,90 días,2025-11-12,,5907.2,Pendiente
PP-002204,O-002204,PR-00927,"Hood, Olsen and Holden",2025-07-24,Contado,2025-07-24,2025-07-24,2623.4,Pagado
PP-002205,O-002205,PR-00618,Jones-Gallagher,2025-07-25,60 días,2025-09-23,2025-07-26,2536.16,Pagado
PP-002206,O-002206,PR-00147,"Peterson, Ball and Higgins",2025-07-18,30 días,2025-08-17,2025-08-06,10341.24,Pagado
PP-002207,O-002207,PR-01378,Smith-Andersen,2025-08-19,60 días,2025-10-18,2025-10-02,6569.52,Pagado
PP-002208,O-002208,PR-00188,Farrell Ltd,2025-07-13,30 días,2025-08-12,2025-07-31,1768.32,Pagado
PP-002209,O-002209,PR-00893,Cooper Ltd,2025-07-19,90 días,2025-10-17,,3760.07,Pendiente
PP-002210,O-002210,PR-00862,Adams Group,2025-08-10,90 días,2025-11-08,,5953.92,Pendiente
PP-002211,O-002211,PR-00177,Scott-Carroll,2025-07-24,60 días,2025-09-22,,11809.45,Pendiente
PP-002212,O-002212,PR-01226,Johns-Wilson,2025-07-19,90 días,2025-10-17,2025-08-20,3278.4,Pagado
PP-002213,O-002213,PR-00911,Whitaker-King,2025-07-19,90 días,2025-10-17,2025-08-28,4528.85,Pagado
PP-002214,O-002214,PR-01378,Smith-Andersen,2025-07-01,60 días,2025-08-30,2025-08-21,2696.3,Pagado
PP-002215,O-002215,PR-01378,Smith-Andersen,2025-07-15,60 días,2025-09-13,2025-08-20,5513.6,Pagado
PP-002216,O-002216,PR-00150,"Poole, Santos and Cobb",2025-08-16,90 días,2025-11-14,,9112.5,Pendiente
PP-002217,O-002217,PR-00150,"Poole, Santos and Cobb",2025-07-22,90 días,2025-10-20,,10126.5,Pendiente
PP-002218,O-002218,PR-00151,"Thompson, Harris and Woods",2025-07-27,Contado,2025-07-27,2025-07-27,11317.0,Pagado
PP-002219,O-002219,PR-00185,"Brooks, Thornton and Contreras",2025-08-03,60 días,2025-10-02,2025-09-25,483.5,Pagado
PP-002220,O-002220,PR-00185,"Brooks, Thornton and Contreras",2025-08-20,60 días,2025-10-19,,3542.84,Pendiente
PP-002221,O-002221,PR-01196,Acosta Inc,2025-07-29,90 días,2025-10-27,,1079.52,Pendiente
PP-002222,O-002222,PR-01196,Acosta Inc,2025-08-10,90 días,2025-11-08,2025-09-06,6640.0,Pagado
PP-002223,O-002223,PR-01008,Sullivan Group,2025-07-05,60 días,2025-09-03,,1184.82,Pendiente
PP-002224,O-002224,PR-00188,Farrell Ltd,2025-08-22,30 días,2025-09-21,,1479.36,Pendiente
PP-002225,O-002225,PR-01497,Griffin-Little,2025-08-04,90 días,2025-11-02,2025-09-27,3302.58,Pagado
PP-002226,O-002226,PR-01497,Griffin-Little,2025-07-21,90 días,2025-10-19,2025-08-28,2651.07,Pagado
PP-002227,O-002227,PR-00828,Baird and Sons,2025-08-08,Contado,2025-08-08,2025-08-08,7413.78,Pagado
PP-002228,O-002228,PR-00178,Aguirre-Rich,2025-08-20,90 días,2025-11-18,,7214.86,Pendiente
PP-002229,O-002229,PR-01226,Johns-Wilson,2025-07-28,90 días,2025-10-26,,1890.07,Pendiente
PP-002230,O-002230,PR-01323,"Baker, Atkins and Prince",2025-08-08,90 días,2025-11-06,,3356.8,Pendiente
PP-002231,O-002231,PR-01234,"Frye, Taylor and Hoover",2025-07-04,Contado,2025-07-04,,11149.03,Retrasado
PP-002232,O-002232,PR-00150,"Poole, Santos and Cobb",2025-08-11,90 días,2025-11-09,2025-10-28,4981.0,Pagado
PP-002233,O-002233,PR-00150,"Poole, Santos and Cobb",2025-08-02,90 días,2025-10-31,,1645.11,Pendiente
PP-002234,O-002234,PR-00673,Baird and Sons,2025-07-06,90 días,2025-10-04,,11552.38,Pendiente
PP-002235,O-002235,PR-00673,Baird and Sons,2025-07-04,90 días,2025-10-02,,4993.8,Pendiente
PP-002236,O-002236,PR-00187,"Jones, Moore and Nunez",2025-06-30,90 días,2025-09-28,,4711.92,Pendiente
PP-002237,O-002237,PR-00188,Farrell Ltd,2025-07-29,30 días,2025-08-28,2025-08-18,8905.9,Pagado
PP-002238,O-002238,PR-00188,Farrell Ltd,2025-08-05,30 días,2025-09-04,2025-08-17,5634.64,Pagado
PP-002239,O-002239,PR-00178,Aguirre-Rich,2025-07-06,90 días,2025-10-04,2025-09-12,646.95,Pagado
PP-002240,O-002240,PR-00178,Aguirre-Rich,2025-07-16,90 días,2025-10-14,2025-10-08,1572.9,Pagado
PP-002241,O-002241,PR-00828,Baird and Sons,2025-07-05,Contado,2025-07-05,2025-07-05,215.46,Pagado
PP-002242,O-002242,PR-01323,"Baker, Atkins and Prince",2025-07-01,90 días,2025-09-29,,5720.22,Pendiente
PP-002243,O-002243,PR-00911,Whitaker-King,2025-08-12,90 días,2025-11-10,2025-09-07,2785.97,Pagado
PP-002244,O-002244,PR-00150,"Poole, Santos and Cobb",2025-08-19,90 días,2025-11-17,2025-10-28,1204.74,Pagado
PP-002245,O-002245,PR-00150,"Poole, Santos and Cobb",2025-08-12,90 días,2025-11-10,,5442.0,Pendiente
PP-002246,O-002246,PR-00946,Nguyen Group,2025-08-03,30 días,2025-09-02,2025-08-19,6761.02,Pagado
PP-002247,O-002247,PR-00185,"Brooks, Thornton and Contreras",2025-07-31,60 días,2025-09-29,2025-08-28,2643.16,Pagado
PP-002248,O-002248,PR-01008,Sullivan Group,2025-08-06,60 días,2025-10-05,,7883.94,Pendiente
PP-002249,O-002249,PR-00862,Adams Group,2025-07-10,90 días,2025-10-08,,10317.58,Pendiente
PP-002250,O-002250,PR-00177,Scott-Carroll,2025-07-14,60 días,2025-09-12,2025-07-23,238.08,Pagado
PP-002251,O-002251,PR-00178,Aguirre-Rich,2025-08-16,90 días,2025-11-14,,6296.16,Pendiente
PP-002252,O-002252,PR-00805,"Zavala, Case and Baker",2025-07-20,60 días,2025-09-18,,939.0,Pendiente
PP-002253,O-002253,PR-01071,Sanders-Romero,2025-07-15,30 días,2025-08-14,2025-07-15,3479.49,Pagado
PP-002254,O-002254,PR-01456,Anderson LLC,2025-08-08,90 días,2025-11-06,2025-09-26,2225.3,Pagado
PP-002255,O-002255,PR-00946,Nguyen Group,2025-07-23,30 días,2025-08-22,2025-08-10,5634.02,Pagado
PP-002256,O-002256,PR-00174,Edwards-Turner,2025-06-26,90 días,2025-09-24,2025-07-27,1938.94,Pagado
PP-002257,O-002257,PR-00174,Edwards-Turner,2025-07-04,90 días,2025-10-02,,4147.2,Pendiente
PP-002258,O-002258,PR-01497,Griffin-Little,2025-07-13,90 días,2025-10-11,,5553.2,Pendiente
PP-002259,O-002259,PR-00177,Scott-Carroll,2025-08-16,60 días,2025-10-15,2025-09-16,11939.6,Pagado
PP-002260,O-002260,PR-01323,"Baker, Atkins and Prince",2025-07-02,90 días,2025-09-30,2025-07-14,1752.96,Pagado
PP-002261,O-002261,PR-01234,"Frye, Taylor and Hoover",2025-07-14,Contado,2025-07-14,2025-07-14,1365.12,Pagado
PP-002262,O-002262,PR-00149,Snyder LLC,2025-08-06,90 días,2025-11-04,,1763.52,Pendiente
PP-002263,O-002263,PR-00150,"Poole, Santos and Cobb",2025-07-07,90 días,2025-10-05,2025-07-21,10135.2,Pagado
PP-002264,O-002264,PR-01456,Anderson LLC,2025-07-04,90 días,2025-10-02,2025-07-26,3252.76,Pagado
PP-002265,O-002265,PR-00185,"Brooks, Thornton and Contreras",2025-07-03,60 días,2025-09-01,,2578.62,Pendiente
PP-002266,O-002266,PR-01222,Kelley PLC,2025-08-19,Contado,2025-08-19,2025-08-19,3964.28,Pagado
PP-002267,O-002267,PR-00188,Farrell Ltd,2025-08-04,30 días,2025-09-03,,6152.57,Pendiente
PP-002268,O-002268,PR-00188,Farrell Ltd,2025-08-20,30 días,2025-09-19,,4884.6,Pendiente
PP-002269,O-002269,PR-01033,Williams-Johnson,2025-06-29,Contado,2025-06-29,2025-06-29,10790.48,Pagado
PP-002270,O-002270,PR-01497,Griffin-Little,2025-07-16,90 días,2025-10-14,2025-08-17,414.18,Pagado
PP-002271,O-002271,PR-00618,Jones-Gallagher,2025-08-24,60 días,2025-10-23,2025-09-04,588.94,Pagado
PP-002272,O-002272,PR-00177,Scott-Carroll,2025-08-16,60 días,2025-10-15,,3448.9,Pendiente
PP-002273,O-002273,PR-00177,Scott-Carroll,2025-07-01,60 días,2025-08-30,,9071.1,Pendiente
PP-002274,O-002274,PR-00178,Aguirre-Rich,2025-07-01,90 días,2025-09-29,,981.96,Pendiente
PP-002275,O-002275,PR-01323,"Baker, Atkins and Prince",2025-08-17,90 días,2025-11-15,,9965.67,Pendiente
PP-002276,O-002276,PR-00911,Whitaker-King,2025-07-23,90 días,2025-10-21,2025-09-18,10159.2,Pagado
PP-002277,O-002277,PR-00150,"Poole, Santos and Cobb",2025-08-22,90 días,2025-11-20,,4615.62,Pendiente
PP-002278,O-002278,PR-01071,Sanders-Romero,2025-08-10,30 días,2025-09-09,,7438.93,Pendiente
PP-002279,O-002279,PR-00186,"Williamson, Harrell and Gentry",2025-06-30,30 días,2025-07-30,2025-07-28,763.28,Pagado
PP-002280,O-002280,PR-00636,Johnson-Johnson,2025-08-07,60 días,2025-10-06,,6293.0,Pendiente
PP-002281,O-002281,PR-00702,Weber-Russo,2025-07-20,90 días,2025-10-18,,7605.95,Pendiente
PP-002282,O-002282,PR-00176,Howard and Sons,2025-07-12,30 días,2025-08-11,2025-08-09,5754.0,Pagado
PP-002283,O-002283,PR-01323,"Baker, Atkins and Prince",2025-08-11,90 días,2025-11-09,,1861.02,Pendiente
PP-002284,O-002284,PR-01323,"Baker, Atkins and Prince",2025-07-06,90 días,2025-10-04,2025-09-16,7087.5,Pagado
PP-002285,O-002285,PR-01167,Bradley Ltd,2025-07-23,90 días,2025-10-21,2025-10-04,5883.36,Pagado
PP-002286,O-002286,PR-00805,"Zavala, Case and Baker",2025-08-23,60 días,2025-10-22,2025-10-12,245.16,Pagado
PP-002287,O-002287,PR-00673,Baird and Sons,2025-07-03,90 días,2025-10-01,,7903.44,Pendiente
PP-002288,O-002288,PR-00232,Manufacturas HFR S.Com.,2025-07-14,30 días,2025-08-13,2025-07-27,8257.92,Pagado
PP-002289,O-002289,PR-00686,Inmobiliaria Blázquez y asociados S.Coop.,2025-08-23,60 días,2025-10-22,2025-08-31,4110.12,Pagado
PP-002290,O-002290,PR-01072,Verdugo & Asociados S.A.,2025-08-11,Contado,2025-08-11,2025-08-11,6373.77,Pagado
PP-002291,O-002291,PR-00221,Hermanos Blanca S.A.,2025-08-07,90 días,2025-11-05,2025-09-04,1501.44,Pagado
PP-002292,O-002292,PR-00222,Lamas & Asociados S.Coop.,2025-07-22,90 días,2025-10-20,2025-09-27,4921.6,Pagado
PP-002293,O-002293,PR-00932,Ximena Gimeno Coronado S.C.P,2025-06-27,30 días,2025-07-27,,3149.44,Retrasado
PP-002294,O-002294,PR-00974,Familia Escobar S.A.,2025-08-12,Contado,2025-08-12,,1771.0,Retrasado
PP-002295,O-002295,PR-00194,Bertrán y Manzano S.L.N.E,2025-07-01,30 días,2025-07-31,2025-07-25,2458.08,Pagado
PP-002296,O-002296,PR-00878,Despacho Estévez S.Com.,2025-08-02,60 días,2025-10-01,,1340.01,Pendiente
PP-002297,O-002297,PR-00198,Hotel Cáceres S.Com.,2025-08-03,90 días,2025-11-01,,944.98,Pendiente
PP-002298,O-002298,PR-00996,Fábrica Hernando & Asociados S.L.L.,2025-07-23,90 días,2025-10-21,2025-10-16,4538.4,Pagado
PP-002299,O-002299,PR-00201,Román Giner Alonso S.A.,2025-08-10,60 días,2025-10-09,,4265.73,Pendiente
PP-002300,O-002300,PR-01298,Minería Barberá S.L.,2025-07-01,90 días,2025-09-29,,9546.88,Pendiente
PP-002301,O-002301,PR-01318,Natanael Egea Bustos S.L.,2025-07-26,60 días,2025-09-24,,1398.54,Pendiente
PP-002302,O-002302,PR-00737,Villalobos & Asociados S.L.,2025-08-09,90 días,2025-11-07,,4387.46,Pendiente
PP-002303,O-002303,PR-00205,Lina Perea Gargallo S.Coop.,2025-08-23,30 días,2025-09-22,,6632.72,Pendiente
PP-002304,O-002304,PR-00205,Lina Perea Gargallo S.Coop.,2025-08-15,30 días,2025-09-14,2025-09-12,5365.8,Pagado
PP-002305,O-002305,PR-01174,Conde y asociados S.L.,2025-07-22,30 días,2025-08-21,2025-07-23,4123.5,Pagado
PP-002306,O-002306,PR-00208,Consultoría del Mediterráneo S.A.,2025-08-05,90 días,2025-11-03,,797.24,Pendiente
PP-002307,O-002307,PR-00191,Quiroga & Asociados S.Coop.,2025-08-11,90 días,2025-11-09,2025-11-07,7008.4,Pagado
PP-002308,O-002308,PR-00887,Inversiones del Mediterráneo S.L.N.E,2025-08-03,60 días,2025-10-02,2025-08-03,12118.47,Pagado
PP-002309,O-002309,PR-00210,Hnos Rojas S.Com.,2025-08-21,30 días,2025-09-20,,6349.77,Pendiente
PP-002310,O-002310,PR-01062,Suministros Vendrell & Asociados S.A.,2025-07-12,30 días,2025-08-11,2025-07-17,9462.99,Pagado
PP-002311,O-002311,PR-00211,Infraestructuras Españolas S.L.N.E,2025-08-14,60 días,2025-10-13,2025-08-31,7082.0,Pagado
PP-002312,O-002312,PR-00999,Industrias del Mediterráneo S.L.L.,2025-07-29,30 días,2025-08-28,2025-08-18,7775.67,Pagado
PP-002313,O-002313,PR-00213,Hermanos Gallo S.Coop.,2025-07-28,60 días,2025-09-26,2025-09-05,1167.4,Pagado
PP-002314,O-002314,PR-00218,Inmobiliaria Pera & Asociados S.L.L.,2025-06-28,90 días,2025-09-26,2025-07-03,8545.8,Pagado
PP-002315,O-002315,PR-01072,Verdugo & Asociados S.A.,2025-07-27,Contado,2025-07-27,2025-07-27,11686.56,Pagado
PP-002316,O-002316,PR-01436,Comercial EW S.Coop.,2025-06-29,Contado,2025-06-29,2025-06-29,4625.28,Pagado
PP-002317,O-002317,PR-00234,Comercializadora EU S.L.,2025-07-03,Contado,2025-07-03,,3702.0,Retrasado
PP-002318,O-002318,PR-01275,Sáez y asociados S.A.,2025-06-26,Contado,2025-06-26,2025-06-26,2269.54,Pagado
PP-002319,O-002319,PR-01275,Sáez y asociados S.A.,2025-08-16,Contado,2025-08-16,2025-08-16,2048.35,Pagado
PP-002320,O-002320,PR-00221,Hermanos Blanca S.A.,2025-07-24,90 días,2025-10-22,2025-08-23,1452.15,Pagado
PP-002321,O-002321,PR-00221,Hermanos Blanca S.A.,2025-07-12,90 días,2025-10-10,2025-08-11,1788.57,Pagado
PP-002322,O-002322,PR-00221,Hermanos Blanca S.A.,2025-07-29,90 días,2025-10-27,2025-09-17,12614.48,Pagado
PP-002323,O-002323,PR-00223,Infraestructuras KR S.Com.,2025-06-30,60 días,2025-08-29,2025-08-06,12762.9,Pagado
PP-002324,O-002324,PR-00225,Logística Garmendia S.L.,2025-08-10,30 días,2025-09-09,,328.32,Pendiente
PP-002325,O-002325,PR-00996,Fábrica Hernando & Asociados S.L.L.,2025-07-25,90 días,2025-10-23,2025-09-01,10757.76,Pagado
PP-002326,O-002326,PR-00200,Hnos Bravo S.L.L.,2025-08-21,Contado,2025-08-21,,8127.48,Retrasado
PP-002327,O-002327,PR-00200,Hnos Bravo S.L.L.,2025-07-12,Contado,2025-07-12,2025-07-12,1242.46,Pagado
PP-002328,O-002328,PR-00202,Chus Llopis Villa S.C.P,2025-07-31,30 días,2025-08-30,2025-08-06,3109.54,Pagado
PP-002329,O-002329,PR-00203,Silva y Estrada S.L.N.E,2025-08-09,60 días,2025-10-08,,4646.84,Pendiente
PP-002330,O-002330,PR-00226,Sureda & Asociados S.L.U.,2025-08-04,90 días,2025-11-02,2025-09-08,1548.8,Pagado
PP-002331,O-002331,PR-00227,Manjón y asociados S.Com.,2025-07-25,60 días,2025-09-23,,2184.31,Pendiente
PP-002332,O-002332,PR-00227,Manjón y asociados S.Com.,2025-07-05,60 días,2025-09-03,,611.16,Pendiente
PP-002333,O-002333,PR-01461,Instalaciones del Sur S.L.N.E,2025-07-25,60 días,2025-09-23,,969.06,Pendiente
PP-002334,O-002334,PR-00228,Alimentación Borrás S.A.,2025-07-02,Contado,2025-07-02,2025-07-02,6338.84,Pagado
PP-002335,O-002335,PR-00229,Construcción Ibéricos S.Com.,2025-07-25,Contado,2025-07-25,,4501.75,Retrasado
PP-002336,O-002336,PR-00859,Vaquero y Quiroga S.Coop.,2025-07-31,90 días,2025-10-29,,3729.78,Pendiente
PP-002337,O-002337,PR-01204,Farmaceútica Higueras y asociados S.A.,2025-06-30,60 días,2025-08-29,2025-07-30,2419.37,Pagado
PP-002338,O-002338,PR-00810,Manufacturas Arranz y asociados S.L.U.,2025-08-03,60 días,2025-10-02,2025-09-03,13984.0,Pagado
PP-002339,O-002339,PR-01160,Promociones del Mediterráneo S.L.L.,2025-07-01,Contado,2025-07-01,,184.8,Retrasado
PP-002340,O-002340,PR-00207,Oliva y Portero S.A.,2025-08-09,30 días,2025-09-08,,5855.31,Pendiente
PP-002341,O-002341,PR-01021,Alimentación IXLD S.A.,2025-08-18,60 días,2025-10-17,,2491.28,Pendiente
PP-002342,O-002342,PR-00189,Cases y Sánchez S.C.P,2025-07-09,90 días,2025-10-07,,5017.24,Pendiente
PP-002343,O-002343,PR-00191,Quiroga & Asociados S.Coop.,2025-07-01,90 días,2025-09-29,,4877.59,Pendiente
PP-002344,O-002344,PR-01110,Consultoría EF S.Com.,2025-08-08,Contado,2025-08-08,,9884.7,Retrasado
PP-002345,O-002345,PR-00193,Distribuciones Ibérica S.Coop.,2025-07-10,90 días,2025-10-08,2025-07-27,948.93,Pagado
PP-002346,O-002346,PR-01062,Suministros Vendrell & Asociados S.A.,2025-07-12,30 días,2025-08-11,,5235.36,Pendiente
PP-002347,O-002347,PR-00211,Infraestructuras Españolas S.L.N.E,2025-07-19,60 días,2025-09-17,2025-08-25,304.26,Pagado
PP-002348,O-002348,PR-00217,Restauración Española S.A.,2025-08-19,60 días,2025-10-18,2025-09-29,1836.1,Pagado
PP-002349,O-002349,PR-00218,Inmobiliaria Pera & Asociados S.L.L.,2025-07-26,90 días,2025-10-24,,2890.8,Pendiente
PP-002350,O-002350,PR-00231,Abraham Alfonso Cid S.L.U.,2025-08-02,30 días,2025-09-01,,1437.54,Pendiente
PP-002351,O-002351,PR-00231,Abraham Alfonso Cid S.L.U.,2025-07-02,30 días,2025-08-01,2025-07-09,4182.36,Pagado
PP-002352,O-002352,PR-01436,Comercial EW S.Coop.,2025-08-14,Contado,2025-08-14,2025-08-14,2508.09,Pagado
PP-002353,O-002353,PR-01275,Sáez y asociados S.A.,2025-06-26,Contado,2025-06-26,,6818.98,Retrasado
PP-002354,O-002354,PR-00716,Promociones Roman & Asociados S.L.,2025-06-27,90 días,2025-09-25,2025-09-04,3588.78,Pagado
PP-002355,O-002355,PR-00225,Logística Garmendia S.L.,2025-08-01,30 días,2025-08-31,2025-08-25,971.94,Pagado
PP-002356,O-002356,PR-00195,Clara Gámez Peralta S.L.L.,2025-08-12,Contado,2025-08-12,,2637.87,Pendiente
PP-002357,O-002357,PR-01346,Banco Puig & Asociados S.A.,2025-07-16,90 días,2025-10-14,2025-10-09,7015.36,Pagado
PP-002358,O-002358,PR-00983,Restauración Integrales S.L.N.E,2025-08-08,90 días,2025-11-06,,2821.88,Pendiente
PP-002359,O-002359,PR-00200,Hnos Bravo S.L.L.,2025-08-11,Contado,2025-08-11,,2629.8,Retrasado
PP-002360,O-002360,PR-00200,Hnos Bravo S.L.L.,2025-08-04,Contado,2025-08-04,,10060.88,Retrasado
PP-002361,O-002361,PR-01291,Remigio Gomis Mena S.Com.,2025-08-19,90 días,2025-11-17,2025-08-27,8090.4,Pagado
PP-002362,O-002362,PR-00227,Manjón y asociados S.Com.,2025-07-25,60 días,2025-09-23,,982.77,Pendiente
PP-002363,O-002363,PR-01425,Rafaela Moya Soler S.Coop.,2025-07-01,90 días,2025-09-29,2025-09-14,4604.95,Pagado
PP-002364,O-002364,PR-00859,Vaquero y Quiroga S.Coop.,2025-06-26,90 días,2025-09-24,2025-09-13,5041.08,Pagado
PP-002365,O-002365,PR-01491,Hermanos Andrés S.L.,2025-07-15,90 días,2025-10-13,,3810.0,Pendiente
PP-002366,O-002366,PR-00874,Tadeo Lago Mateos S.L.,2025-08-07,90 días,2025-11-05,,5234.02,Pendiente
PP-002367,O-002367,PR-00857,Hnos Manzanares S.L.L.,2025-06-30,Contado,2025-06-30,2025-06-30,1606.5,Pagado
PP-002368,O-002368,PR-00686,Inmobiliaria Blázquez y asociados S.Coop.,2025-08-22,60 días,2025-10-21,2025-09-17,3817.92,Pagado
PP-002369,O-002369,PR-00686,Inmobiliaria Blázquez y asociados S.Coop.,2025-08-11,60 días,2025-10-10,2025-10-06,6206.16,Pagado
PP-002370,O-002370,PR-00222,Lamas & Asociados S.Coop.,2025-07-13,90 días,2025-10-11,,2508.24,Pendiente
PP-002371,O-002371,PR-00223,Infraestructuras KR S.Com.,2025-07-09,60 días,2025-09-07,2025-08-24,1281.84,Pagado
PP-002372,O-002372,PR-00716,Promociones Roman & Asociados S.L.,2025-07-02,90 días,2025-09-30,2025-08-30,6730.75,Pagado
PP-002373,O-002373,PR-01118,Inmobiliaria SNJ S.L.N.E,2025-08-15,90 días,2025-11-13,2025-09-06,3210.68,Pagado
PP-002374,O-002374,PR-00878,Despacho Estévez S.Com.,2025-08-05,60 días,2025-10-04,,655.2,Pendiente
PP-002375,O-002375,PR-00198,Hotel Cáceres S.Com.,2025-07-17,90 días,2025-10-15,2025-09-19,3250.56,Pagado
PP-002376,O-002376,PR-00198,Hotel Cáceres S.Com.,2025-07-24,90 días,2025-10-22,2025-08-08,4333.4,Pagado
PP-002377,O-002377,PR-01298,Minería Barberá S.L.,2025-08-08,90 días,2025-11-06,2025-08-13,1399.44,Pagado
PP-002378,O-002378,PR-00202,Chus Llopis Villa S.C.P,2025-08-20,30 días,2025-09-19,2025-08-25,6093.0,Pagado
PP-002379,O-002379,PR-01318,Natanael Egea Bustos S.L.,2025-07-27,60 días,2025-09-25,2025-09-23,5470.55,Pagado
PP-002380,O-002380,PR-01267,Hnos Salgado S.A.T.,2025-08-22,30 días,2025-09-21,2025-09-10,2172.39,Pagado
PP-002381,O-002381,PR-01267,Hnos Salgado S.A.T.,2025-07-16,30 días,2025-08-15,,2875.92,Pendiente
PP-002382,O-002382,PR-01243,María Pilar Cuervo Merino S.Coop.,2025-08-16,90 días,2025-11-14,2025-08-23,2968.56,Pagado
PP-002383,O-002383,PR-00227,Manjón y asociados S.Com.,2025-08-18,60 días,2025-10-17,,7219.26,Pendiente
PP-002384,O-002384,PR-00227,Manjón y asociados S.Com.,2025-08-24,60 días,2025-10-23,2025-10-12,2022.0,Pagado
PP-002385,O-002385,PR-01159,Promociones Jimenez S.A.,2025-07-07,90 días,2025-10-05,2025-07-15,893.88,Pagado
PP-002386,O-002386,PR-00229,Construcción Ibéricos S.Com.,2025-07-19,Contado,2025-07-19,2025-07-19,608.79,Pagado
PP-002387,O-002387,PR-00212,Construcción Parra & Asociados S.A.,2025-08-06,60 días,2025-10-05,2025-10-01,7710.75,Pagado
PP-002388,O-002388,PR-00874,Tadeo Lago Mateos S.L.,2025-07-27,90 días,2025-10-25,2025-09-05,1858.4,Pagado
PP-002389,O-002389,PR-00232,Manufacturas HFR S.Com.,2025-07-11,30 días,2025-08-10,,13507.32,Pendiente
