entrega_id,venta_id,fecha_envio,fecha_entrega,estado,tipo_entrega,empresa_logistica,cumplimiento_72h
ET-01245,C-001245,,,Pendiente,Propia,,
ET-01246,C-001246,,,Pendiente,Propia,,
ET-01247,C-001247,2025-06-21,2025-06-25,Entregado,Propia,,Retrasado
ET-01249,C-001249,2025-06-02,,Enviado,Logística,FedEx,
ET-01251,C-001251,2025-06-13,,Enviado,Propia,,
ET-01252,C-001252,2025-07-11,,Cancelado,Propia,,
ET-01253,C-001253,,,Pendiente,Logística,Correos Express,
ET-01254,C-001254,2025-07-01,,Cancelado,Logística,DHL,
ET-01256,C-001256,,,Pendiente,Propia,,
ET-01257,C-001257,,,Pendiente,Logística,SEUR,
ET-01258,C-001258,2025-06-17,,Enviado,Logística,FedEx,
ET-01262,C-001262,2025-07-10,,Enviado,Propia,,
ET-01265,C-001265,,,Pendiente,Propia,,
ET-01266,C-001266,2025-08-19,2025-08-20,Entregado,Propia,,Entregado a tiempo
ET-01267,C-001267,2025-07-15,2025-07-18,Entregado,Logística,SEUR,Entregado a tiempo
ET-01268,C-001268,,,Pendiente,Logística,UPS,
ET-01271,C-001271,2025-06-03,,Enviado,Propia,,
ET-01272,C-001272,2025-06-10,,Enviado,Propia,,
ET-01275,C-001275,2025-06-10,,Cancelado,Logística,Amazon Logistics,
ET-01278,C-001278,2025-08-11,,Enviado,Logística,MRW,
ET-01280,C-001280,2025-06-12,2025-06-14,Entregado,Logística,DHL,Entregado a tiempo
ET-01286,C-001286,2025-07-01,2025-07-04,Entregado,Propia,,Entregado a tiempo
ET-01287,C-001287,2025-08-08,,Enviado,Propia,,
ET-01288,C-001288,2025-06-26,,Enviado,Logística,UPS,
ET-01289,C-001289,2025-07-23,,Enviado,Propia,,
ET-01291,C-001291,2025-07-05,,Enviado,Logística,Correos Express,
ET-01293,C-001293,2025-06-18,,Cancelado,Propia,,
ET-01297,C-001297,2025-08-17,,Enviado,Propia,,
ET-01299,C-001299,2025-06-07,,Enviado,Logística,Amazon Logistics,
ET-01301,C-001301,2025-07-21,2025-07-24,Entregado,Logística,Correos Express,Entregado a tiempo
ET-01302,C-001302,2025-06-15,2025-06-16,Entregado,Propia,,Entregado a tiempo
ET-01304,C-001304,2025-07-22,,Enviado,Propia,,
ET-01305,C-001305,2025-08-07,2025-08-08,Entregado,Logística,SEUR,Entregado a tiempo
ET-01306,C-001306,,,Pendiente,Logística,MRW,
ET-01307,C-001307,2025-07-19,2025-07-21,Entregado,Logística,SEUR,Entregado a tiempo
ET-01308,C-001308,2025-07-04,2025-07-08,Entregado,Propia,,Retrasado
ET-01309,C-001309,2025-08-27,2025-08-28,Entregado,Propia,,Entregado a tiempo
ET-01310,C-001310,2025-07-02,2025-07-03,Entregado,Propia,,Entregado a tiempo
ET-01311,C-001311,2025-08-03,,Enviado,Propia,,
ET-01314,C-001314,2025-07-14,2025-07-18,Entregado,Propia,,Retrasado
ET-01316,C-001316,2025-06-15,2025-06-15,Entregado,Propia,,Entregado a tiempo
ET-01317,C-001317,2025-06-03,,Cancelado,Propia,,
ET-01318,C-001318,2025-07-03,2025-07-06,Entregado,Propia,,Entregado a tiempo
ET-01319,C-001319,2025-07-28,,Enviado,Logística,DHL,
ET-01320,C-001320,2025-08-08,2025-08-12,Entregado,Logística,FedEx,Retrasado
ET-01321,C-001321,2025-07-13,2025-07-14,Entregado,Logística,DHL,Entregado a tiempo
ET-01324,C-001324,,,Pendiente,Logística,FedEx,
ET-01328,C-001328,2025-07-08,2025-07-09,Entregado,Logística,UPS,Entregado a tiempo
ET-01329,C-001329,2025-07-20,2025-07-23,Entregado,Logística,DHL,Entregado a tiempo
ET-01330,C-001330,2025-07-17,2025-07-21,Entregado,Logística,FedEx,Retrasado
ET-01332,C-001332,2025-08-14,,Enviado,Propia,,
ET-01333,C-001333,2025-06-28,,Enviado,Propia,,
ET-01334,C-001334,2025-08-06,2025-08-10,Entregado,Logística,Correos Express,Retrasado
ET-01335,C-001335,,,Pendiente,Propia,,
ET-01336,C-001336,,,Pendiente,Propia,,
ET-01339,C-001339,2025-06-19,2025-06-23,Entregado,Logística,Amazon Logistics,Retrasado
ET-01340,C-001340,2025-08-06,2025-08-10,Entregado,Logística,Amazon Logistics,Retrasado
ET-01341,C-001341,,,Pendiente,Logística,Amazon Logistics,
ET-01343,C-001343,2025-06-09,,Cancelado,Logística,DHL,
ET-01345,C-001345,2025-08-22,2025-08-23,Entregado,Logística,UPS,Entregado a tiempo
ET-01346,C-001346,2025-07-21,2025-07-21,Entregado,Propia,,Entregado a tiempo
ET-01349,C-001349,2025-06-22,,Enviado,Propia,,
ET-01350,C-001350,2025-08-19,2025-08-23,Entregado,Propia,,Retrasado
ET-01351,C-001351,2025-08-25,2025-08-25,Entregado,Logística,DHL,Entregado a tiempo
ET-01352,C-001352,2025-06-24,,Enviado,Propia,,
ET-01355,C-001355,2025-07-09,2025-07-12,Entregado,Logística,SEUR,Entregado a tiempo
ET-01356,C-001356,2025-07-21,2025-07-23,Entregado,Logística,FedEx,Entregado a tiempo
ET-01357,C-001357,2025-07-09,2025-07-13,Entregado,Propia,,Retrasado
ET-01358,C-001358,2025-07-22,,Enviado,Propia,,
ET-01359,C-001359,2025-08-03,,Enviado,Logística,UPS,
ET-01360,C-001360,2025-06-12,2025-06-13,Entregado,Logística,UPS,Entregado a tiempo
ET-01362,C-001362,2025-08-22,2025-08-22,Entregado,Logística,UPS,Entregado a tiempo
ET-01365,C-001365,,,Pendiente,Propia,,
ET-01368,C-001368,2025-07-20,2025-07-20,Entregado,Logística,SEUR,Entregado a tiempo
ET-01369,C-001369,2025-08-17,2025-08-19,Entregado,Logística,MRW,Entregado a tiempo
ET-01370,C-001370,2025-08-27,,Enviado,Logística,UPS,
ET-01371,C-001371,2025-06-03,,Enviado,Propia,,
ET-01373,C-001373,2025-06-22,2025-06-24,Entregado,Logística,UPS,Entregado a tiempo
ET-01374,C-001374,2025-08-19,2025-08-22,Entregado,Logística,DHL,Entregado a tiempo
ET-01375,C-001375,2025-06-02,,Enviado,Logística,MRW,
ET-01376,C-001376,2025-06-23,2025-06-27,Entregado,Logística,UPS,Retrasado
ET-01378,C-001378,2025-06-17,2025-06-17,Entregado,Propia,,Entregado a tiempo
ET-01379,C-001379,2025-08-15,2025-08-18,Entregado,Propia,,Entregado a tiempo
ET-01380,C-001380,2025-06-01,2025-06-01,Entregado,Logística,MRW,Entregado a tiempo
ET-01381,C-001381,2025-07-18,,Enviado,Propia,,
ET-01383,C-001383,2025-07-23,2025-07-27,Entregado,Propia,,Retrasado
ET-01384,C-001384,2025-06-09,,Enviado,Logística,MRW,
ET-01386,C-001386,,,Pendiente,Propia,,
ET-01387,C-001387,2025-06-21,2025-06-21,Entregado,Logística,MRW,Entregado a tiempo
ET-01389,C-001389,,,Pendiente,Logística,SEUR,
ET-01390,C-001390,2025-07-24,2025-07-24,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-01394,C-001394,2025-07-06,2025-07-06,Entregado,Propia,,Entregado a tiempo
ET-01395,C-001395,2025-07-21,2025-07-23,Entregado,Propia,,Entregado a tiempo
ET-01396,C-001396,2025-07-10,,Enviado,Logística,Correos Express,
ET-01399,C-001399,2025-06-17,2025-06-18,Entregado,Propia,,Entregado a tiempo
ET-01400,C-001400,2025-08-17,2025-08-20,Entregado,Logística,SEUR,Entregado a tiempo
ET-01401,C-001401,2025-07-31,2025-07-31,Entregado,Logística,Correos Express,Entregado a tiempo
ET-01403,C-001403,2025-06-19,,Enviado,Propia,,
ET-01404,C-001404,2025-07-06,,Enviado,Propia,,
ET-01405,C-001405,2025-07-01,2025-07-03,Entregado,Logística,MRW,Entregado a tiempo
ET-01406,C-001406,2025-06-23,2025-06-23,Entregado,Propia,,Entregado a tiempo
ET-01410,C-001410,2025-08-12,2025-08-15,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-01411,C-001411,2025-06-28,2025-06-30,Entregado,Logística,SEUR,Entregado a tiempo
ET-01412,C-001412,2025-07-01,2025-07-05,Entregado,Logística,FedEx,Retrasado
ET-01414,C-001414,2025-07-02,2025-07-05,Entregado,Logística,UPS,Entregado a tiempo
ET-01415,C-001415,2025-06-21,,Enviado,Propia,,
ET-01417,C-001417,2025-08-23,2025-08-24,Entregado,Propia,,Entregado a tiempo
ET-01419,C-001419,2025-06-21,,Cancelado,Propia,,
ET-01421,C-001421,2025-07-05,,Enviado,Propia,,
ET-01423,C-001423,2025-06-11,,Enviado,Logística,Correos Express,
ET-01425,C-001425,2025-08-05,2025-08-09,Entregado,Propia,,Retrasado
ET-01430,C-001430,,,Pendiente,Logística,Amazon Logistics,
ET-01431,C-001431,2025-06-22,2025-06-26,Entregado,Propia,,Retrasado
ET-01433,C-001433,2025-08-01,,Cancelado,Logística,DHL,
ET-01434,C-001434,2025-08-26,,Enviado,Propia,,
ET-01439,C-001439,2025-06-28,,Enviado,Propia,,
ET-01442,C-001442,,,Pendiente,Logística,SEUR,
ET-01443,C-001443,2025-08-06,,Enviado,Propia,,
ET-01445,C-001445,2025-06-24,,Cancelado,Propia,,
ET-01446,C-001446,2025-08-07,,Cancelado,Logística,FedEx,
ET-01447,C-001447,2025-06-03,,Enviado,Logística,FedEx,
ET-01449,C-001449,2025-06-12,,Enviado,Propia,,
ET-01450,C-001450,2025-07-25,2025-07-29,Entregado,Propia,,Retrasado
ET-01451,C-001451,2025-08-07,,Enviado,Logística,SEUR,
ET-01454,C-001454,2025-08-18,,Enviado,Logística,Correos Express,
ET-01456,C-001456,2025-06-27,,Enviado,Logística,Amazon Logistics,
ET-01458,C-001458,2025-07-25,2025-07-26,Entregado,Logística,UPS,Entregado a tiempo
ET-01460,C-001460,2025-06-23,2025-06-26,Entregado,Logística,DHL,Entregado a tiempo
ET-01461,C-001461,2025-08-16,,Enviado,Logística,Correos Express,
ET-01462,C-001462,2025-07-30,,Enviado,Propia,,
ET-01466,C-001466,2025-07-06,2025-07-06,Entregado,Propia,,Entregado a tiempo
ET-01467,C-001467,2025-07-16,2025-07-20,Entregado,Propia,,Retrasado
ET-01471,C-001471,2025-06-26,,Enviado,Logística,SEUR,
ET-01472,C-001472,2025-06-08,2025-06-11,Entregado,Logística,SEUR,Entregado a tiempo
ET-01473,C-001473,2025-06-28,2025-06-30,Entregado,Propia,,Entregado a tiempo
ET-01474,C-001474,2025-06-15,2025-06-15,Entregado,Propia,,Entregado a tiempo
ET-01475,C-001475,,,Pendiente,Logística,UPS,
ET-01476,C-001476,2025-06-06,,Enviado,Logística,FedEx,
ET-01477,C-001477,2025-06-25,,Enviado,Logística,MRW,
ET-01478,C-001478,2025-07-20,,Enviado,Propia,,
ET-01481,C-001481,2025-08-18,2025-08-22,Entregado,Propia,,Retrasado
ET-01482,C-001482,2025-07-02,2025-07-02,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-01484,C-001484,2025-07-16,,Cancelado,Logística,DHL,
ET-01487,C-001487,2025-06-10,,Enviado,Logística,UPS,
ET-01488,C-001488,2025-07-25,2025-07-26,Entregado,Propia,,Entregado a tiempo
ET-01489,C-001489,2025-08-11,2025-08-15,Entregado,Propia,,Retrasado
ET-01490,C-001490,2025-07-27,,Cancelado,Propia,,
ET-01491,C-001491,2025-08-22,2025-08-23,Entregado,Propia,,Entregado a tiempo
ET-01493,C-001493,2025-07-11,2025-07-11,Entregado,Logística,FedEx,Entregado a tiempo
ET-01494,C-001494,2025-08-12,,Cancelado,Logística,FedEx,
ET-01495,C-001495,2025-07-27,2025-07-31,Entregado,Propia,,Retrasado
ET-01499,C-001499,2025-07-07,,Cancelado,Logística,UPS,
ET-01500,C-001500,2025-08-09,2025-08-11,Entregado,Propia,,Entregado a tiempo
ET-01501,C-001501,2025-06-02,2025-06-04,Entregado,Propia,,Entregado a tiempo
ET-01502,C-001502,2025-07-25,,Enviado,Propia,,
ET-01503,C-001503,2025-07-18,,Enviado,Logística,DHL,
ET-01504,C-001504,2025-08-26,2025-08-27,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-01506,C-001506,2025-08-25,2025-08-28,Entregado,Propia,,Entregado a tiempo
ET-01507,C-001507,2025-07-31,2025-08-04,Entregado,Logística,UPS,Retrasado
ET-01510,C-001510,2025-07-21,2025-07-21,Entregado,Logística,DHL,Entregado a tiempo
ET-01511,C-001511,2025-07-06,2025-07-06,Entregado,Propia,,Entregado a tiempo
ET-01512,C-001512,2025-07-24,,Cancelado,Propia,,
ET-01513,C-001513,2025-08-08,2025-08-09,Entregado,Propia,,Entregado a tiempo
ET-01517,C-001517,,,Pendiente,Logística,UPS,
ET-01519,C-001519,2025-07-28,,Enviado,Logística,FedEx,
ET-01520,C-001520,2025-07-25,,Enviado,Propia,,
ET-01521,C-001521,2025-07-13,2025-07-16,Entregado,Propia,,Entregado a tiempo
ET-01523,C-001523,2025-06-16,,Enviado,Logística,UPS,
ET-01525,C-001525,2025-07-25,,Enviado,Propia,,
ET-01529,C-001529,2025-07-20,,Cancelado,Logística,MRW,
ET-01530,C-001530,2025-06-13,2025-06-15,Entregado,Logística,Correos Express,Entregado a tiempo
ET-01531,C-001531,2025-08-03,,Enviado,Logística,FedEx,
ET-01533,C-001533,2025-06-23,,Enviado,Propia,,
ET-01534,C-001534,,,Pendiente,Logística,UPS,
ET-01535,C-001535,2025-07-10,,Enviado,Propia,,
ET-01536,C-001536,2025-07-01,2025-07-03,Entregado,Logística,Correos Express,Entregado a tiempo
ET-01537,C-001537,2025-07-10,,Enviado,Propia,,
ET-01539,C-001539,,,Pendiente,Propia,,
ET-01541,C-001541,2025-06-21,2025-06-23,Entregado,Logística,SEUR,Entregado a tiempo
ET-01542,C-001542,2025-07-20,,Enviado,Logística,DHL,
ET-01543,C-001543,2025-08-14,2025-08-17,Entregado,Propia,,Entregado a tiempo
ET-01544,C-001544,2025-08-20,2025-08-23,Entregado,Propia,,Entregado a tiempo
ET-01545,C-001545,2025-07-21,,Cancelado,Logística,FedEx,
ET-01546,C-001546,2025-07-15,,Enviado,Propia,,
ET-01549,C-001549,,,Pendiente,Propia,,
ET-01552,C-001552,2025-06-11,2025-06-11,Entregado,Logística,SEUR,Entregado a tiempo
ET-01555,C-001555,2025-06-20,2025-06-24,Entregado,Propia,,Retrasado
ET-01556,C-001556,2025-06-15,,Enviado,Propia,,
ET-01557,C-001557,2025-07-31,,Enviado,Propia,,
ET-01560,C-001560,2025-06-03,2025-06-06,Entregado,Propia,,Entregado a tiempo
ET-01561,C-001561,2025-08-05,,Enviado,Logística,MRW,
ET-01562,C-001562,2025-07-04,,Enviado,Logística,UPS,
ET-01564,C-001564,,,Pendiente,Logística,Correos Express,
ET-01568,C-001568,2025-06-07,2025-06-11,Entregado,Propia,,Retrasado
ET-01569,C-001569,,,Pendiente,Logística,MRW,
ET-01571,C-001571,2025-08-01,,Enviado,Logística,UPS,
ET-01572,C-001572,2025-06-22,,Cancelado,Propia,,
ET-01573,C-001573,2025-08-04,,Enviado,Logística,FedEx,
ET-01576,C-001576,2025-07-19,2025-07-23,Entregado,Propia,,Retrasado
ET-01577,C-001577,2025-08-18,2025-08-22,Entregado,Propia,,Retrasado
ET-01580,C-001580,2025-06-20,,Enviado,Logística,SEUR,
ET-01581,C-001581,2025-06-21,,Enviado,Propia,,
ET-01582,C-001582,2025-08-23,,Enviado,Logística,MRW,
ET-01585,C-001585,2025-07-10,2025-07-13,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-01590,C-001590,2025-06-13,2025-06-14,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-01591,C-001591,2025-06-12,,Enviado,Logística,UPS,
ET-01592,C-001592,2025-08-05,2025-08-08,Entregado,Propia,,Entregado a tiempo
ET-01595,C-001595,2025-07-01,,Enviado,Logística,DHL,
ET-01596,C-001596,2025-07-30,2025-08-02,Entregado,Logística,MRW,Entregado a tiempo
ET-01598,C-001598,2025-07-21,,Enviado,Propia,,
ET-01599,C-001599,2025-06-05,,Cancelado,Propia,,
ET-01602,C-001602,2025-07-08,,Enviado,Logística,MRW,
ET-01603,C-001603,2025-08-07,,Enviado,Logística,Amazon Logistics,
ET-01604,C-001604,2025-06-13,2025-06-14,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-01605,C-001605,2025-07-08,,Enviado,Logística,SEUR,
ET-01606,C-001606,2025-08-29,2025-09-01,Entregado,Logística,UPS,Entregado a tiempo
ET-01607,C-001607,2025-07-26,,Cancelado,Logística,DHL,
ET-01608,C-001608,2025-07-31,2025-08-04,Entregado,Propia,,Retrasado
ET-01611,C-001611,2025-06-11,2025-06-12,Entregado,Propia,,Entregado a tiempo
ET-01612,C-001612,2025-08-21,2025-08-23,Entregado,Propia,,Entregado a tiempo
ET-01613,C-001613,2025-07-02,,Cancelado,Propia,,
ET-01615,C-001615,2025-07-19,2025-07-19,Entregado,Propia,,Entregado a tiempo
ET-01616,C-001616,2025-08-02,2025-08-05,Entregado,Logística,SEUR,Entregado a tiempo
ET-01617,C-001617,,,Pendiente,Logística,MRW,
ET-01618,C-001618,2025-07-08,,Enviado,Propia,,
ET-01620,C-001620,2025-07-31,2025-07-31,Entregado,Propia,,Entregado a tiempo
ET-01621,C-001621,2025-08-02,,Enviado,Logística,Amazon Logistics,
ET-01622,C-001622,2025-07-07,2025-07-08,Entregado,Logística,SEUR,Entregado a tiempo
ET-01623,C-001623,2025-08-25,,Enviado,Propia,,
ET-01625,C-001625,2025-07-10,,Enviado,Propia,,
ET-01627,C-001627,2025-06-04,2025-06-05,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-01630,C-001630,2025-08-07,,Enviado,Logística,FedEx,
ET-01631,C-001631,2025-08-15,,Enviado,Logística,MRW,
ET-01634,C-001634,2025-08-24,2025-08-27,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-01636,C-001636,,,Pendiente,Logística,Amazon Logistics,
ET-01637,C-001637,2025-07-29,,Enviado,Logística,FedEx,
ET-01638,C-001638,2025-08-27,2025-08-31,Entregado,Propia,,Retrasado
ET-01639,C-001639,2025-07-12,2025-07-16,Entregado,Logística,MRW,Retrasado
ET-01641,C-001641,2025-07-07,2025-07-08,Entregado,Propia,,Entregado a tiempo
ET-01643,C-001643,2025-08-11,,Enviado,Logística,Correos Express,
ET-01644,C-001644,2025-07-11,,Enviado,Logística,Correos Express,
ET-01645,C-001645,2025-07-30,2025-08-01,Entregado,Propia,,Entregado a tiempo
ET-01646,C-001646,2025-08-10,2025-08-13,Entregado,Propia,,Entregado a tiempo
ET-01647,C-001647,2025-06-04,2025-06-05,Entregado,Propia,,Entregado a tiempo
ET-01648,C-001648,2025-06-14,,Cancelado,Propia,,
ET-01650,C-001650,,,Pendiente,Logística,MRW,
ET-01651,C-001651,2025-06-12,2025-06-13,Entregado,Logística,SEUR,Entregado a tiempo
ET-01653,C-001653,2025-06-10,2025-06-14,Entregado,Propia,,Retrasado
ET-01654,C-001654,2025-07-14,2025-07-16,Entregado,Propia,,Entregado a tiempo
ET-01655,C-001655,,,Pendiente,Logística,MRW,
ET-01657,C-001657,2025-07-04,2025-07-05,Entregado,Propia,,Entregado a tiempo
ET-01658,C-001658,2025-07-24,2025-07-28,Entregado,Logística,MRW,Retrasado
ET-01662,C-001662,2025-06-17,,Enviado,Logística,UPS,
ET-01664,C-001664,2025-08-07,,Enviado,Logística,MRW,
ET-01667,C-001667,2025-06-08,,Enviado,Logística,MRW,
ET-01668,C-001668,2025-06-18,,Enviado,Logística,Correos Express,
ET-01669,C-001669,2025-07-09,2025-07-11,Entregado,Propia,,Entregado a tiempo
ET-01671,C-001671,2025-08-23,2025-08-24,Entregado,Logística,MRW,Entregado a tiempo
ET-01673,C-001673,2025-08-07,2025-08-11,Entregado,Propia,,Retrasado
ET-01674,C-001674,2025-07-16,,Enviado,Logística,SEUR,
ET-01675,C-001675,2025-07-27,2025-07-28,Entregado,Propia,,Entregado a tiempo
ET-01676,C-001676,2025-08-07,,Cancelado,Propia,,
ET-01677,C-001677,2025-06-08,2025-06-08,Entregado,Logística,DHL,Entregado a tiempo
ET-01678,C-001678,2025-07-15,2025-07-17,Entregado,Logística,SEUR,Entregado a tiempo
ET-01679,C-001679,2025-08-08,2025-08-08,Entregado,Propia,,Entregado a tiempo
ET-01681,C-001681,2025-07-14,2025-07-18,Entregado,Logística,Amazon Logistics,Retrasado
ET-01683,C-001683,2025-08-17,,Enviado,Propia,,
ET-01684,C-001684,2025-07-05,,Cancelado,Logística,UPS,
ET-01685,C-001685,2025-06-08,2025-06-08,Entregado,Propia,,Entregado a tiempo
ET-01687,C-001687,2025-06-14,2025-06-15,Entregado,Logística,DHL,Entregado a tiempo
ET-01691,C-001691,2025-08-25,2025-08-26,Entregado,Propia,,Entregado a tiempo
ET-01692,C-001692,2025-07-09,,Enviado,Logística,Correos Express,
ET-01693,C-001693,,,Pendiente,Propia,,
ET-01694,C-001694,2025-06-10,,Enviado,Propia,,
ET-01699,C-001699,2025-07-12,2025-07-15,Entregado,Logística,Correos Express,Entregado a tiempo
ET-01701,C-001701,2025-07-31,,Enviado,Propia,,
ET-01703,C-001703,2025-08-28,2025-08-28,Entregado,Propia,,Entregado a tiempo
ET-01705,C-001705,2025-07-19,2025-07-22,Entregado,Logística,Correos Express,Entregado a tiempo
ET-01707,C-001707,2025-07-26,,Cancelado,Logística,MRW,
ET-01709,C-001709,,,Pendiente,Logística,SEUR,
ET-01711,C-001711,2025-08-11,2025-08-11,Entregado,Logística,SEUR,Entregado a tiempo
ET-01712,C-001712,2025-06-27,2025-07-01,Entregado,Logística,MRW,Retrasado
ET-01713,C-001713,2025-06-12,2025-06-15,Entregado,Propia,,Entregado a tiempo
ET-01714,C-001714,2025-06-13,,Enviado,Logística,MRW,
ET-01718,C-001718,2025-08-24,,Enviado,Propia,,
ET-01719,C-001719,2025-08-15,,Enviado,Propia,,
ET-01720,C-001720,2025-06-10,2025-06-11,Entregado,Logística,DHL,Entregado a tiempo
ET-01721,C-001721,,,Pendiente,Propia,,
ET-01722,C-001722,2025-07-27,,Enviado,Propia,,
ET-01723,C-001723,2025-07-10,,Enviado,Logística,SEUR,
ET-01724,C-001724,2025-06-30,2025-06-30,Entregado,Propia,,Entregado a tiempo
ET-01728,C-001728,2025-08-15,,Enviado,Logística,FedEx,
ET-01730,C-001730,2025-08-20,,Cancelado,Propia,,
ET-01731,C-001731,2025-07-14,2025-07-14,Entregado,Propia,,Entregado a tiempo
ET-01732,C-001732,2025-08-20,,Enviado,Propia,,
ET-01734,C-001734,,,Pendiente,Logística,Amazon Logistics,
ET-01735,C-001735,,,Pendiente,Logística,Correos Express,
ET-01736,C-001736,2025-07-12,,Cancelado,Logística,Amazon Logistics,
ET-01737,C-001737,2025-07-30,2025-07-31,Entregado,Logística,SEUR,Entregado a tiempo
ET-01738,C-001738,2025-06-08,2025-06-11,Entregado,Logística,SEUR,Entregado a tiempo
ET-01739,C-001739,2025-08-12,,Enviado,Propia,,
ET-01740,C-001740,2025-08-10,,Enviado,Logística,MRW,
ET-01743,C-001743,2025-06-30,2025-06-30,Entregado,Propia,,Entregado a tiempo
ET-01744,C-001744,2025-07-11,2025-07-11,Entregado,Logística,SEUR,Entregado a tiempo
ET-01745,C-001745,2025-06-22,,Enviado,Propia,,
ET-01746,C-001746,2025-06-17,,Enviado,Logística,Correos Express,
ET-01747,C-001747,2025-08-14,,Cancelado,Logística,MRW,
ET-01748,C-001748,,,Pendiente,Logística,MRW,
ET-01750,C-001750,2025-07-12,,Enviado,Logística,DHL,
ET-01751,C-001751,2025-07-14,,Enviado,Propia,,
ET-01753,C-001753,,,Pendiente,Logística,MRW,
ET-01754,C-001754,2025-08-15,2025-08-19,Entregado,Propia,,Retrasado
ET-01758,C-001758,2025-07-04,2025-07-06,Entregado,Propia,,Entregado a tiempo
ET-01759,C-001759,2025-07-29,2025-08-02,Entregado,Propia,,Retrasado
ET-01760,C-001760,2025-06-19,2025-06-19,Entregado,Propia,,Entregado a tiempo
ET-01761,C-001761,2025-06-27,,Cancelado,Propia,,
ET-01763,C-001763,2025-08-09,2025-08-13,Entregado,Logística,SEUR,Retrasado
ET-01766,C-001766,,,Pendiente,Propia,,
ET-01767,C-001767,2025-06-27,2025-06-29,Entregado,Logística,DHL,Entregado a tiempo
ET-01768,C-001768,2025-07-06,2025-07-08,Entregado,Propia,,Entregado a tiempo
ET-01769,C-001769,2025-07-14,,Enviado,Propia,,
ET-01770,C-001770,2025-08-24,2025-08-27,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-01771,C-001771,,,Pendiente,Propia,,
ET-01772,C-001772,2025-07-08,,Enviado,Logística,Correos Express,
ET-01773,C-001773,2025-07-15,2025-07-15,Entregado,Logística,MRW,Entregado a tiempo
ET-01774,C-001774,,,Pendiente,Logística,UPS,
ET-01775,C-001775,2025-07-10,2025-07-10,Entregado,Propia,,Entregado a tiempo
ET-01776,C-001776,2025-07-08,2025-07-09,Entregado,Logística,MRW,Entregado a tiempo
ET-01778,C-001778,2025-08-13,2025-08-15,Entregado,Logística,UPS,Entregado a tiempo
ET-01779,C-001779,2025-08-09,2025-08-13,Entregado,Logística,Correos Express,Retrasado
ET-01780,C-001780,,,Pendiente,Logística,Amazon Logistics,
ET-01781,C-001781,2025-07-28,2025-07-31,Entregado,Logística,UPS,Entregado a tiempo
ET-01782,C-001782,2025-07-31,,Enviado,Logística,MRW,
ET-01784,C-001784,,,Pendiente,Propia,,
ET-01785,C-001785,2025-07-01,,Cancelado,Logística,Correos Express,
ET-01786,C-001786,2025-08-01,2025-08-04,Entregado,Propia,,Entregado a tiempo
ET-01788,C-001788,2025-06-10,,Cancelado,Propia,,
ET-01790,C-001790,2025-08-29,2025-09-01,Entregado,Propia,,Entregado a tiempo
ET-01793,C-001793,2025-07-18,,Enviado,Logística,SEUR,
ET-01794,C-001794,2025-08-10,2025-08-12,Entregado,Logística,UPS,Entregado a tiempo
ET-01795,C-001795,2025-06-27,2025-06-29,Entregado,Propia,,Entregado a tiempo
ET-01796,C-001796,2025-06-19,2025-06-19,Entregado,Propia,,Entregado a tiempo
ET-01801,C-001801,2025-07-03,,Enviado,Propia,,
ET-01802,C-001802,2025-06-14,2025-06-17,Entregado,Logística,MRW,Entregado a tiempo
ET-01805,C-001805,2025-07-24,2025-07-27,Entregado,Propia,,Entregado a tiempo
ET-01806,C-001806,2025-06-30,2025-07-04,Entregado,Logística,Amazon Logistics,Retrasado
ET-01807,C-001807,,,Pendiente,Propia,,
ET-01809,C-001809,2025-07-12,2025-07-16,Entregado,Propia,,Retrasado
ET-01812,C-001812,2025-07-24,2025-07-25,Entregado,Logística,UPS,Entregado a tiempo
ET-01813,C-001813,2025-06-15,2025-06-19,Entregado,Logística,UPS,Retrasado
ET-01814,C-001814,2025-08-04,,Cancelado,Propia,,
ET-01815,C-001815,2025-07-30,2025-08-02,Entregado,Logística,SEUR,Entregado a tiempo
ET-01818,C-001818,,,Pendiente,Propia,,
ET-01819,C-001819,2025-08-28,2025-08-28,Entregado,Logística,MRW,Entregado a tiempo
ET-01821,C-001821,2025-07-04,2025-07-07,Entregado,Logística,Correos Express,Entregado a tiempo
ET-01822,C-001822,2025-07-05,2025-07-05,Entregado,Propia,,Entregado a tiempo
ET-01825,C-001825,2025-08-06,,Cancelado,Logística,DHL,
ET-01826,C-001826,,,Pendiente,Propia,,
ET-01827,C-001827,2025-08-28,,Enviado,Propia,,
ET-01828,C-001828,2025-07-19,2025-07-22,Entregado,Logística,FedEx,Entregado a tiempo
ET-01829,C-001829,2025-06-04,,Enviado,Propia,,
ET-01830,C-001830,2025-07-05,,Cancelado,Logística,UPS,
ET-01832,C-001832,2025-08-10,,Cancelado,Logística,MRW,
