pago_id,order_id,provider_id,provider_name,fecha_orden,condicion_pago,fecha_vencimiento,fecha_pago,monto_total,estado_pago
PP-001026,O-001026,PR-00667,Hnos Pallarès S.C.P,2025-07-17,60 días,2025-09-15,,1474.41,Pendiente
PP-001027,O-001027,PR-00054,Hermanos Castellanos S.L.,2025-07-14,60 días,2025-09-12,,1716.48,Pendiente
PP-001028,O-001028,PR-00056,Despacho Pazos S.Coop.,2025-08-03,Contado,2025-08-03,2025-08-03,568.7,Pagado
PP-001029,O-001029,PR-00056,Despacho Pazos S.Coop.,2025-08-01,Contado,2025-08-01,,2517.46,Retrasado
PP-001030,O-001030,PR-00056,Despacho Pazos S.Coop.,2025-08-05,Contado,2025-08-05,,3580.64,Pendiente
PP-001031,O-001031,PR-01289,Suministros WTHZ S.L.,2025-07-02,30 días,2025-08-01,2025-07-29,1224.86,Pagado
PP-001032,O-001032,PR-00092,Sofía Acosta Romero S.L.,2025-07-09,90 días,2025-10-07,,10760.59,Pendiente
PP-001033,O-001033,PR-01241,Grupo Trujillo S.L.,2025-08-07,90 días,2025-11-05,,881.5,Pendiente
PP-001034,O-001034,PR-00081,Restauración Prieto S.L.N.E,2025-08-17,30 días,2025-09-16,,3533.6,Pendiente
PP-001035,O-001035,PR-00083,Goñi & Asociados S.L.L.,2025-07-13,60 días,2025-09-11,2025-09-10,536.22,Pagado
PP-001036,O-001036,PR-01000,Galán y Ferrán S.A.,2025-07-15,30 días,2025-08-14,2025-07-18,10233.81,Pagado
PP-001037,O-001037,PR-00055,Manufacturas Almagro S.A.T.,2025-07-21,60 días,2025-09-19,2025-09-10,10964.16,Pagado
PP-001038,O-001038,PR-00055,Manufacturas Almagro S.A.T.,2025-07-17,60 días,2025-09-15,2025-08-04,7395.3,Pagado
PP-001039,O-001039,PR-00693,Supermercados Segarra S.Com.,2025-08-04,90 días,2025-11-02,,10625.31,Pendiente
PP-001040,O-001040,PR-01089,Ramiro Palau Roig S.Coop.,2025-07-03,90 días,2025-10-01,2025-07-17,4163.3,Pagado
PP-001041,O-001041,PR-00959,Talleres Ros y asociados S.L.,2025-08-08,30 días,2025-09-07,2025-08-13,10108.7,Pagado
PP-001042,O-001042,PR-00093,Carrera & Asociados S.L.L.,2025-07-20,60 días,2025-09-18,2025-08-20,1921.83,Pagado
PP-001043,O-001043,PR-01084,Fabiana Olmedo Córdoba S.A.,2025-08-01,30 días,2025-08-31,,6138.52,Pendiente
PP-001044,O-001044,PR-00093,Carrera & Asociados S.L.L.,2025-07-12,60 días,2025-09-10,2025-07-19,2035.0,Pagado
PP-001045,O-001045,PR-00951,Fábrica Montoya S.Com.,2025-07-16,90 días,2025-10-14,,3738.44,Pendiente
PP-001046,O-001046,PR-00081,Restauración Prieto S.L.N.E,2025-08-09,30 días,2025-09-08,,9022.86,Pendiente
PP-001047,O-001047,PR-00081,Restauración Prieto S.L.N.E,2025-08-17,30 días,2025-09-16,,1169.25,Pendiente
PP-001048,O-001048,PR-00084,Quero y Casado S.Coop.,2025-08-13,60 días,2025-10-12,,2632.68,Pendiente
PP-001049,O-001049,PR-00054,Hermanos Castellanos S.L.,2025-08-02,60 días,2025-10-01,2025-08-26,469.48,Pagado
PP-001050,O-001050,PR-00056,Despacho Pazos S.Coop.,2025-07-06,Contado,2025-07-06,2025-07-06,3464.58,Pagado
PP-001051,O-001051,PR-00090,Saldaña y Corominas S.A.D,2025-08-20,90 días,2025-11-18,,808.86,Pendiente
PP-001052,O-001052,PR-00090,Saldaña y Corominas S.A.D,2025-07-30,90 días,2025-10-28,,4160.1,Pendiente
PP-001053,O-001053,PR-00091,Instalaciones NC S.A.U,2025-07-22,30 días,2025-08-21,2025-08-20,8529.95,Pagado
PP-001054,O-001054,PR-00093,Carrera & Asociados S.L.L.,2025-06-27,60 días,2025-08-26,,1613.43,Pendiente
PP-001055,O-001055,PR-00080,Manufacturas Inteligentes S.Coop.,2025-07-29,90 días,2025-10-27,2025-08-19,5193.0,Pagado
PP-001056,O-001056,PR-00951,Fábrica Montoya S.Com.,2025-08-09,90 días,2025-11-07,,4843.52,Pendiente
PP-001057,O-001057,PR-00081,Restauración Prieto S.L.N.E,2025-08-09,30 días,2025-09-08,2025-08-31,7762.14,Pagado
PP-001058,O-001058,PR-00083,Goñi & Asociados S.L.L.,2025-08-10,60 días,2025-10-09,,6877.64,Pendiente
PP-001059,O-001059,PR-00710,Familia Hoyos S.L.,2025-07-30,90 días,2025-10-28,,1293.25,Pendiente
PP-001060,O-001060,PR-00054,Hermanos Castellanos S.L.,2025-07-07,60 días,2025-09-05,,4996.12,Pendiente
PP-001061,O-001061,PR-00056,Despacho Pazos S.Coop.,2025-08-10,Contado,2025-08-10,,9924.48,Retrasado
PP-001062,O-001062,PR-00056,Despacho Pazos S.Coop.,2025-07-25,Contado,2025-07-25,2025-07-25,7068.48,Pagado
PP-001063,O-001063,PR-00057,Despacho VPXE S.L.N.E,2025-08-06,60 días,2025-10-05,2025-09-26,2602.14,Pagado
PP-001064,O-001064,PR-00693,Supermercados Segarra S.Com.,2025-06-26,90 días,2025-09-24,2025-07-12,5697.78,Pagado
PP-001065,O-001065,PR-01089,Ramiro Palau Roig S.Coop.,2025-07-05,90 días,2025-10-03,2025-08-04,8580.54,Pagado
PP-001066,O-001066,PR-01084,Fabiana Olmedo Córdoba S.A.,2025-07-20,30 días,2025-08-19,2025-07-27,3219.57,Pagado
PP-001067,O-001067,PR-00093,Carrera & Asociados S.L.L.,2025-07-14,60 días,2025-09-12,,4614.09,Pendiente
PP-001068,O-001068,PR-00763,Suministros ZOYN S.Com.,2025-08-06,90 días,2025-11-04,,606.75,Pendiente
PP-001069,O-001069,PR-00081,Restauración Prieto S.L.N.E,2025-08-21,30 días,2025-09-20,2025-08-31,3983.76,Pagado
PP-001070,O-001070,PR-00054,Hermanos Castellanos S.L.,2025-08-04,60 días,2025-10-03,2025-09-11,10927.58,Pagado
PP-001071,O-001071,PR-00055,Manufacturas Almagro S.A.T.,2025-08-11,60 días,2025-10-10,,3177.02,Pendiente
PP-001072,O-001072,PR-00056,Despacho Pazos S.Coop.,2025-07-14,Contado,2025-07-14,2025-07-14,3567.12,Pagado
PP-001073,O-001073,PR-00781,Sarmiento & Asociados S.L.L.,2025-06-23,90 días,2025-09-21,2025-07-22,8995.72,Pagado
PP-001074,O-001074,PR-00093,Carrera & Asociados S.L.L.,2025-06-29,60 días,2025-08-28,,2951.34,Pendiente
PP-001075,O-001075,PR-00763,Suministros ZOYN S.Com.,2025-07-17,90 días,2025-10-15,,7129.9,Pendiente
PP-001076,O-001076,PR-01294,Promociones YMZ S.Coop.,2025-07-02,Contado,2025-07-02,,4814.36,Retrasado
PP-001077,O-001077,PR-00710,Familia Hoyos S.L.,2025-06-29,90 días,2025-09-27,2025-09-17,1004.18,Pagado
PP-001078,O-001078,PR-00667,Hnos Pallarès S.C.P,2025-07-12,60 días,2025-09-10,,8031.75,Pendiente
PP-001079,O-001079,PR-00054,Hermanos Castellanos S.L.,2025-06-27,60 días,2025-08-26,2025-08-10,2319.55,Pagado
PP-001080,O-001080,PR-00054,Hermanos Castellanos S.L.,2025-06-25,60 días,2025-08-24,2025-08-12,1044.68,Pagado
PP-001081,O-001081,PR-00056,Despacho Pazos S.Coop.,2025-07-19,Contado,2025-07-19,,3367.26,Pendiente
PP-001082,O-001082,PR-00780,Familia Pedrero S.C.P,2025-07-16,90 días,2025-10-14,,5007.33,Pendiente
PP-001083,O-001083,PR-01182,Banca Privada VM S.A.,2025-07-21,30 días,2025-08-20,2025-08-13,468.78,Pagado
PP-001084,O-001084,PR-00091,Instalaciones NC S.A.U,2025-08-18,30 días,2025-09-17,,2871.36,Pendiente
PP-001085,O-001085,PR-00091,Instalaciones NC S.A.U,2025-06-23,30 días,2025-07-23,2025-07-21,1173.12,Pagado
PP-001086,O-001086,PR-00091,Instalaciones NC S.A.U,2025-08-03,30 días,2025-09-02,,11850.0,Pendiente
PP-001087,O-001087,PR-01084,Fabiana Olmedo Córdoba S.A.,2025-08-07,30 días,2025-09-06,2025-08-17,11143.7,Pagado
PP-001088,O-001088,PR-00094,Quique Calvet Montesinos S.A.,2025-08-15,60 días,2025-10-14,,7629.09,Pendiente
PP-001089,O-001089,PR-00094,Quique Calvet Montesinos S.A.,2025-07-11,60 días,2025-09-09,,2784.2,Pendiente
PP-001090,O-001090,PR-00083,Goñi & Asociados S.L.L.,2025-08-11,60 días,2025-10-10,2025-10-08,3836.8,Pagado
PP-001091,O-001091,PR-00083,Goñi & Asociados S.L.L.,2025-07-20,60 días,2025-09-18,2025-07-29,3846.55,Pagado
PP-001092,O-001092,PR-00056,Despacho Pazos S.Coop.,2025-08-03,Contado,2025-08-03,2025-08-03,10609.44,Pagado
PP-001093,O-001093,PR-00056,Despacho Pazos S.Coop.,2025-07-07,Contado,2025-07-07,2025-07-07,8764.0,Pagado
PP-001094,O-001094,PR-01089,Ramiro Palau Roig S.Coop.,2025-07-13,90 días,2025-10-11,2025-08-01,6855.68,Pagado
PP-001095,O-001095,PR-00763,Suministros ZOYN S.Com.,2025-08-19,90 días,2025-11-17,2025-11-08,5021.25,Pagado
PP-001096,O-001096,PR-00763,Suministros ZOYN S.Com.,2025-07-16,90 días,2025-10-14,,908.1,Pendiente
PP-001097,O-001097,PR-01077,Logística MQO S.A.T.,2025-08-13,60 días,2025-10-12,,4060.5,Pendiente
PP-001098,O-001098,PR-00083,Goñi & Asociados S.L.L.,2025-06-30,60 días,2025-08-29,,3769.92,Pendiente
PP-001099,O-001099,PR-00710,Familia Hoyos S.L.,2025-07-23,90 días,2025-10-21,,769.92,Pendiente
PP-001100,O-001100,PR-00667,Hnos Pallarès S.C.P,2025-07-16,60 días,2025-09-14,2025-08-28,6093.0,Pagado
PP-001101,O-001101,PR-00053,Inversiones Abascal S.L.,2025-08-10,90 días,2025-11-08,2025-10-26,4392.52,Pagado
PP-001102,O-001102,PR-01000,Galán y Ferrán S.A.,2025-08-12,30 días,2025-09-11,,2230.8,Pendiente
PP-001103,O-001103,PR-01000,Galán y Ferrán S.A.,2025-08-15,30 días,2025-09-14,,11010.05,Pendiente
PP-001104,O-001104,PR-00054,Hermanos Castellanos S.L.,2025-07-31,60 días,2025-09-29,2025-08-28,5826.08,Pagado
PP-001105,O-001105,PR-00055,Manufacturas Almagro S.A.T.,2025-08-11,60 días,2025-10-10,2025-09-04,9883.44,Pagado
PP-001106,O-001106,PR-00056,Despacho Pazos S.Coop.,2025-08-07,Contado,2025-08-07,2025-08-07,4380.75,Pagado
PP-001107,O-001107,PR-00090,Saldaña y Corominas S.A.D,2025-07-31,90 días,2025-10-29,2025-08-29,3512.75,Pagado
PP-001108,O-001108,PR-00092,Sofía Acosta Romero S.L.,2025-07-04,90 días,2025-10-02,2025-07-09,12726.72,Pagado
PP-001109,O-001109,PR-01084,Fabiana Olmedo Córdoba S.A.,2025-07-05,30 días,2025-08-04,,13572.48,Retrasado
PP-001110,O-001110,PR-00093,Carrera & Asociados S.L.L.,2025-08-07,60 días,2025-10-06,,985.5,Pendiente
PP-001111,O-001111,PR-00094,Quique Calvet Montesinos S.A.,2025-06-26,60 días,2025-08-25,2025-07-25,8974.44,Pagado
PP-001112,O-001112,PR-00763,Suministros ZOYN S.Com.,2025-08-11,90 días,2025-11-09,2025-09-12,6267.1,Pagado
PP-001113,O-001113,PR-00080,Manufacturas Inteligentes S.Coop.,2025-07-28,90 días,2025-10-26,2025-07-30,4207.14,Pagado
PP-001114,O-001114,PR-01000,Galán y Ferrán S.A.,2025-07-09,30 días,2025-08-08,2025-08-06,7751.5,Pagado
PP-001115,O-001115,PR-00780,Familia Pedrero S.C.P,2025-08-10,90 días,2025-11-08,,1193.08,Pendiente
PP-001116,O-001116,PR-01200,Rubio-Aponte y Asociados,2025-08-01,Contado,2025-08-01,2025-08-01,5381.62,Pagado
PP-001117,O-001117,PR-00127,Navarro y Sierra A.C.,2025-08-02,90 días,2025-10-31,2025-08-04,4314.57,Pagado
PP-001118,O-001118,PR-00732,Razo y Ortiz S.A. de C.V.,2025-06-23,30 días,2025-07-23,,3900.82,Retrasado
PP-001119,O-001119,PR-00103,"Proyectos Escobar, Salas y Salas",2025-07-15,60 días,2025-09-13,,7568.96,Pendiente
PP-001120,O-001120,PR-01199,Murillo y Zamudio e Hijos,2025-08-05,60 días,2025-10-04,,1129.76,Pendiente
PP-001121,O-001121,PR-01347,Corporacin Alarcón-Arreola,2025-08-04,60 días,2025-10-03,,2060.85,Pendiente
PP-001122,O-001122,PR-00133,Cavazos S.A.,2025-08-02,60 días,2025-10-01,,2383.65,Pendiente
PP-001123,O-001123,PR-00883,Posada y Salcedo S.A.,2025-07-02,60 días,2025-08-31,2025-07-04,1247.84,Pagado
PP-001124,O-001124,PR-00717,"Luna, Montoya y Granado",2025-08-17,60 días,2025-10-16,,7403.7,Pendiente
PP-001125,O-001125,PR-01138,Aguirre y Ornelas e Hijos,2025-07-28,60 días,2025-09-26,,4189.5,Pendiente
PP-001126,O-001126,PR-00111,Preciado y Abreu y Asociados,2025-07-10,90 días,2025-10-08,2025-08-20,6241.96,Pagado
PP-001127,O-001127,PR-00114,"Sosa, Ocasio y Barela",2025-06-24,60 días,2025-08-23,2025-07-13,3382.4,Pagado
PP-001128,O-001128,PR-00658,Laboratorios Fierro y Nieto,2025-07-27,30 días,2025-08-26,,1705.62,Pendiente
PP-001129,O-001129,PR-00658,Laboratorios Fierro y Nieto,2025-07-22,30 días,2025-08-21,2025-08-17,5416.52,Pagado
PP-001130,O-001130,PR-00098,"Ramos, Orozco y Calvillo",2025-08-18,60 días,2025-10-17,2025-10-03,6148.8,Pagado
PP-001131,O-001131,PR-00098,"Ramos, Orozco y Calvillo",2025-07-01,60 días,2025-08-30,2025-08-28,1750.68,Pagado
PP-001132,O-001132,PR-01085,Ruelas e Hijos,2025-07-31,Contado,2025-07-31,2025-07-31,990.06,Pagado
PP-001133,O-001133,PR-00121,Laboratorios Gollum y Batista,2025-07-24,60 días,2025-09-22,,3159.52,Pendiente
PP-001134,O-001134,PR-01467,Ocasio S.A. de C.V.,2025-07-19,90 días,2025-10-17,,12424.5,Pendiente
PP-001135,O-001135,PR-01101,Mena y Ontiveros y Asociados,2025-08-17,90 días,2025-11-15,,3805.92,Pendiente
PP-001136,O-001136,PR-00889,Club Duarte-Olmos,2025-07-15,30 días,2025-08-14,2025-08-09,10734.24,Pagado
PP-001137,O-001137,PR-00889,Club Duarte-Olmos,2025-06-23,30 días,2025-07-23,2025-07-03,3004.49,Pagado
PP-001138,O-001138,PR-00732,Razo y Ortiz S.A. de C.V.,2025-06-29,30 días,2025-07-29,2025-07-10,11293.2,Pagado
PP-001139,O-001139,PR-00131,Parra-Vázquez A.C.,2025-07-21,Contado,2025-07-21,2025-07-21,12396.02,Pagado
PP-001140,O-001140,PR-00100,Industrias Prado y Villalobos,2025-08-20,60 días,2025-10-19,,2799.3,Pendiente
PP-001141,O-001141,PR-01261,Anguiano S.C.,2025-07-17,60 días,2025-09-15,2025-08-13,4879.54,Pagado
PP-001142,O-001142,PR-00809,Gaytán-Carbajal S.A. de C.V.,2025-07-06,90 días,2025-10-04,2025-07-25,2991.24,Pagado
PP-001143,O-001143,PR-00809,Gaytán-Carbajal S.A. de C.V.,2025-07-26,90 días,2025-10-24,2025-10-15,1426.8,Pagado
PP-001144,O-001144,PR-00766,Madrigal-Cervantes,2025-08-10,Contado,2025-08-10,,3366.0,Retrasado
PP-001145,O-001145,PR-00766,Madrigal-Cervantes,2025-08-04,Contado,2025-08-04,,10110.85,Retrasado
PP-001146,O-001146,PR-01347,Corporacin Alarcón-Arreola,2025-07-31,60 días,2025-09-29,,1739.32,Pendiente
PP-001147,O-001147,PR-00108,"Club Villareal, Lozano y Alonso",2025-07-12,60 días,2025-09-10,2025-08-27,2824.6,Pagado
PP-001148,O-001148,PR-01314,Proyectos Dueñas y Magaña,2025-07-04,30 días,2025-08-03,,1808.15,Retrasado
PP-001149,O-001149,PR-00133,Cavazos S.A.,2025-08-21,60 días,2025-10-20,2025-10-10,2371.32,Pagado
PP-001150,O-001150,PR-01207,Laboratorios Sanabria-Negrete,2025-08-10,60 días,2025-10-09,2025-09-02,5374.26,Pagado
PP-001151,O-001151,PR-00136,Vásquez A.C.,2025-07-19,Contado,2025-07-19,,1006.72,Pendiente
PP-001152,O-001152,PR-00136,Vásquez A.C.,2025-07-25,Contado,2025-07-25,2025-07-25,1689.66,Pagado
PP-001153,O-001153,PR-00112,"Despacho Irizarry, Flórez y Valentín",2025-07-25,60 días,2025-09-23,,9106.65,Pendiente
PP-001154,O-001154,PR-00114,"Sosa, Ocasio y Barela",2025-07-15,60 días,2025-09-13,2025-08-07,11111.35,Pagado
PP-001155,O-001155,PR-00096,Club Quintanilla-Nájera,2025-07-30,30 días,2025-08-29,2025-08-19,2442.24,Pagado
PP-001156,O-001156,PR-00098,"Ramos, Orozco y Calvillo",2025-08-03,60 días,2025-10-02,2025-09-23,1423.45,Pagado
PP-001157,O-001157,PR-01090,Grupo Flórez-Munguía,2025-08-09,90 días,2025-11-07,2025-09-27,3090.5,Pagado
PP-001158,O-001158,PR-00119,Fierro-Altamirano S.A. de C.V.,2025-08-01,60 días,2025-09-30,,4984.96,Pendiente
PP-001159,O-001159,PR-00121,Laboratorios Gollum y Batista,2025-07-29,60 días,2025-09-27,,789.2,Pendiente
PP-001160,O-001160,PR-00121,Laboratorios Gollum y Batista,2025-08-14,60 días,2025-10-13,,1912.16,Pendiente
PP-001161,O-001161,PR-00123,Grupo Malave y Lozada,2025-07-12,90 días,2025-10-10,2025-08-12,4224.78,Pagado
PP-001162,O-001162,PR-00126,Duarte A.C.,2025-07-06,60 días,2025-09-04,,2622.08,Pendiente
PP-001163,O-001163,PR-00139,Vargas-Montenegro A.C.,2025-07-19,90 días,2025-10-17,,609.22,Pendiente
PP-001164,O-001164,PR-00141,Rascón y Grijalva S. R.L. de C.V.,2025-08-03,30 días,2025-09-02,,3933.09,Pendiente
PP-001165,O-001165,PR-00127,Navarro y Sierra A.C.,2025-06-29,90 días,2025-09-27,,414.58,Pendiente
PP-001166,O-001166,PR-01321,Valles y Asociados,2025-06-25,90 días,2025-09-23,2025-09-12,6670.08,Pagado
PP-001167,O-001167,PR-01321,Valles y Asociados,2025-07-05,90 días,2025-10-03,2025-09-25,10129.48,Pagado
PP-001168,O-001168,PR-01444,Industrias Solís-Meléndez,2025-06-23,60 días,2025-08-22,,5896.96,Retrasado
PP-001169,O-001169,PR-00129,Espinosa-Delgadillo,2025-07-23,90 días,2025-10-21,,2828.07,Pendiente
PP-001170,O-001170,PR-01444,Industrias Solís-Meléndez,2025-08-14,60 días,2025-10-13,,9625.6,Pendiente
PP-001171,O-001171,PR-01036,Navarrete S.C.,2025-07-22,60 días,2025-09-20,2025-07-26,550.8,Pagado
PP-001172,O-001172,PR-00130,"Anaya, Toledo y Aparicio",2025-07-13,60 días,2025-09-11,,11073.51,Pendiente
PP-001173,O-001173,PR-00130,"Anaya, Toledo y Aparicio",2025-08-03,60 días,2025-10-02,,1545.12,Pendiente
PP-001174,O-001174,PR-00101,Alonso e Hijos,2025-08-16,60 días,2025-10-15,2025-08-26,6778.59,Pagado
PP-001175,O-001175,PR-00101,Alonso e Hijos,2025-08-12,60 días,2025-10-11,2025-09-20,11535.72,Pagado
PP-001176,O-001176,PR-00101,Alonso e Hijos,2025-08-21,60 días,2025-10-20,2025-10-16,4474.5,Pagado
PP-001177,O-001177,PR-00102,"Esquibel, Posada y Naranjo",2025-07-18,30 días,2025-08-17,,516.81,Retrasado
PP-001178,O-001178,PR-00104,"Proyectos Abreu, Ordóñez y de Anda",2025-06-24,90 días,2025-09-22,2025-09-19,1672.79,Pagado
PP-001179,O-001179,PR-01199,Murillo y Zamudio e Hijos,2025-08-14,60 días,2025-10-13,,3108.56,Pendiente
PP-001180,O-001180,PR-00106,Corporacin Villalobos-Saldaña,2025-08-12,Contado,2025-08-12,2025-08-12,3362.85,Pagado
PP-001181,O-001181,PR-00108,"Club Villareal, Lozano y Alonso",2025-08-10,60 días,2025-10-09,2025-09-18,4012.32,Pagado
PP-001182,O-001182,PR-01225,Angulo S.C.,2025-08-08,90 días,2025-11-06,2025-10-05,2830.23,Pagado
PP-001183,O-001183,PR-00133,Cavazos S.A.,2025-08-21,60 días,2025-10-20,,2084.3,Pendiente
PP-001184,O-001184,PR-00881,"Mota, Delgadillo y Aguilera",2025-07-06,60 días,2025-09-04,2025-08-19,3015.76,Pagado
PP-001185,O-001185,PR-00717,"Luna, Montoya y Granado",2025-07-26,60 días,2025-09-24,,8221.5,Pendiente
PP-001186,O-001186,PR-01297,Corporacin Muñoz-Partida,2025-06-29,60 días,2025-08-28,2025-08-04,10352.16,Pagado
PP-001187,O-001187,PR-00136,Vásquez A.C.,2025-07-10,Contado,2025-07-10,2025-07-10,841.19,Pagado
PP-001188,O-001188,PR-01297,Corporacin Muñoz-Partida,2025-07-08,60 días,2025-09-06,,2458.14,Pendiente
PP-001189,O-001189,PR-00111,Preciado y Abreu y Asociados,2025-06-30,90 días,2025-09-28,,4746.77,Pendiente
PP-001190,O-001190,PR-00113,Mena-Alejandro S. R.L. de C.V.,2025-07-26,90 días,2025-10-24,,3429.4,Pendiente
PP-001191,O-001191,PR-00829,Salas-Posada S. R.L. de C.V.,2025-07-24,90 días,2025-10-22,2025-10-17,4098.6,Pagado
PP-001192,O-001192,PR-00137,Club Ornelas y Pérez,2025-07-05,Contado,2025-07-05,2025-07-05,7390.45,Pagado
PP-001193,O-001193,PR-00139,Vargas-Montenegro A.C.,2025-07-10,90 días,2025-10-08,2025-09-03,2032.0,Pagado
PP-001194,O-001194,PR-01444,Industrias Solís-Meléndez,2025-07-10,60 días,2025-09-08,2025-08-06,2455.71,Pagado
PP-001195,O-001195,PR-00130,"Anaya, Toledo y Aparicio",2025-08-15,60 días,2025-10-14,,1022.96,Pendiente
PP-001196,O-001196,PR-00794,Club Vaca y Saavedra,2025-07-29,90 días,2025-10-27,2025-09-29,4477.72,Pagado
PP-001197,O-001197,PR-00795,Perales-Salas S. R.L. de C.V.,2025-07-22,90 días,2025-10-20,,8717.8,Pendiente
PP-001198,O-001198,PR-01261,Anguiano S.C.,2025-07-12,60 días,2025-09-10,,3015.84,Pendiente
PP-001199,O-001199,PR-00102,"Esquibel, Posada y Naranjo",2025-08-14,30 días,2025-09-13,2025-09-09,7729.26,Pagado
PP-001200,O-001200,PR-00103,"Proyectos Escobar, Salas y Salas",2025-08-18,60 días,2025-10-17,,3072.08,Pendiente
PP-001201,O-001201,PR-00104,"Proyectos Abreu, Ordóñez y de Anda",2025-06-29,90 días,2025-09-27,2025-08-13,1439.2,Pagado
PP-001202,O-001202,PR-00109,Corporacin Pulido y Molina,2025-06-23,90 días,2025-09-21,,5589.48,Pendiente
PP-001203,O-001203,PR-01283,"Corporacin Salinas, Iglesias y Lovato",2025-08-16,90 días,2025-11-14,,5418.0,Pendiente
PP-001204,O-001204,PR-00133,Cavazos S.A.,2025-07-18,60 días,2025-09-16,,7115.85,Pendiente
PP-001205,O-001205,PR-00134,Valladares y Alcala S.A.,2025-08-13,90 días,2025-11-11,2025-09-11,4968.42,Pagado
PP-001206,O-001206,PR-00136,Vásquez A.C.,2025-08-10,Contado,2025-08-10,2025-08-10,860.34,Pagado
PP-001207,O-001207,PR-01137,Sierra e Hijos,2025-08-02,60 días,2025-10-01,,3595.56,Pendiente
PP-001208,O-001208,PR-01138,Aguirre y Ornelas e Hijos,2025-08-20,60 días,2025-10-19,,8875.19,Pendiente
PP-001209,O-001209,PR-00111,Preciado y Abreu y Asociados,2025-07-05,90 días,2025-10-03,2025-07-30,8394.63,Pagado
PP-001210,O-001210,PR-01218,"Club Alba, Zamora y Briones",2025-08-10,30 días,2025-09-09,2025-08-27,1177.8,Pagado
PP-001211,O-001211,PR-00138,Proyectos López-Baca,2025-08-06,Contado,2025-08-06,,4756.57,Pendiente
PP-001212,O-001212,PR-00140,Proyectos Rosales-Páez,2025-06-25,Contado,2025-06-25,2025-06-25,4385.9,Pagado
PP-001213,O-001213,PR-00889,Club Duarte-Olmos,2025-07-07,30 días,2025-08-06,2025-07-16,10672.76,Pagado
PP-001214,O-001214,PR-00130,"Anaya, Toledo y Aparicio",2025-06-30,60 días,2025-08-29,,1748.25,Pendiente
PP-001215,O-001215,PR-00795,Perales-Salas S. R.L. de C.V.,2025-07-30,90 días,2025-10-28,2025-10-23,6370.14,Pagado
PP-001216,O-001216,PR-00100,Industrias Prado y Villalobos,2025-08-10,60 días,2025-10-09,2025-08-22,2694.06,Pagado
PP-001217,O-001217,PR-00101,Alonso e Hijos,2025-08-10,60 días,2025-10-09,2025-10-05,1284.21,Pagado
PP-001218,O-001218,PR-00102,"Esquibel, Posada y Naranjo",2025-07-26,30 días,2025-08-25,,9495.6,Pendiente
PP-001219,O-001219,PR-00809,Gaytán-Carbajal S.A. de C.V.,2025-08-19,90 días,2025-11-17,,12726.11,Pendiente
PP-001220,O-001220,PR-00103,"Proyectos Escobar, Salas y Salas",2025-07-21,60 días,2025-09-19,,9941.58,Pendiente
PP-001221,O-001221,PR-00103,"Proyectos Escobar, Salas y Salas",2025-06-26,60 días,2025-08-25,,3812.25,Pendiente
PP-001222,O-001222,PR-00877,Otero y Jaimes S.A. de C.V.,2025-07-28,90 días,2025-10-26,2025-09-24,5876.5,Pagado
PP-001223,O-001223,PR-00104,"Proyectos Abreu, Ordóñez y de Anda",2025-08-09,90 días,2025-11-07,,6896.4,Pendiente
PP-001224,O-001224,PR-00766,Madrigal-Cervantes,2025-07-03,Contado,2025-07-03,2025-07-03,11249.6,Pagado
PP-001225,O-001225,PR-00105,Grupo Grijalva y Sosa,2025-07-20,90 días,2025-10-18,,9045.0,Pendiente
PP-001226,O-001226,PR-00106,Corporacin Villalobos-Saldaña,2025-08-15,Contado,2025-08-15,,1180.88,Retrasado
PP-001227,O-001227,PR-00108,"Club Villareal, Lozano y Alonso",2025-07-13,60 días,2025-09-11,2025-09-07,2282.58,Pagado
PP-001228,O-001228,PR-00109,Corporacin Pulido y Molina,2025-08-05,90 días,2025-11-03,,3579.84,Pendiente
PP-001229,O-001229,PR-01225,Angulo S.C.,2025-07-07,90 días,2025-10-05,2025-07-08,1805.6,Pagado
PP-001230,O-001230,PR-00133,Cavazos S.A.,2025-08-17,60 días,2025-10-16,,2391.22,Pendiente
PP-001231,O-001231,PR-00883,Posada y Salcedo S.A.,2025-08-08,60 días,2025-10-07,,12136.0,Pendiente
PP-001232,O-001232,PR-00881,"Mota, Delgadillo y Aguilera",2025-08-16,60 días,2025-10-15,2025-09-21,5342.06,Pagado
PP-001233,O-001233,PR-00135,Laboy-Godínez,2025-08-18,60 días,2025-10-17,2025-08-29,4453.4,Pagado
PP-001234,O-001234,PR-01137,Sierra e Hijos,2025-07-20,60 días,2025-09-18,2025-07-21,6241.5,Pagado
PP-001235,O-001235,PR-00112,"Despacho Irizarry, Flórez y Valentín",2025-07-26,60 días,2025-09-24,,1249.6,Pendiente
PP-001236,O-001236,PR-00114,"Sosa, Ocasio y Barela",2025-08-09,60 días,2025-10-08,2025-08-15,1305.15,Pagado
PP-001237,O-001237,PR-00139,Vargas-Montenegro A.C.,2025-07-21,90 días,2025-10-19,,3296.4,Pendiente
PP-001238,O-001238,PR-01200,Rubio-Aponte y Asociados,2025-07-17,Contado,2025-07-17,2025-07-17,4315.08,Pagado
PP-001239,O-001239,PR-00140,Proyectos Rosales-Páez,2025-08-10,Contado,2025-08-10,2025-08-10,5887.0,Pagado
PP-001240,O-001240,PR-00127,Navarro y Sierra A.C.,2025-07-11,90 días,2025-10-09,2025-09-02,8213.1,Pagado
